Date,EW,n,Freq B.1.617.2,Freq AY.3,Freq AY.4,Freq AY.25,Freq AY.26,Freq AY.33
2021-07-01,26,22,0.48,0.08,0.02,0.07,0.01,0
2021-07-02,26,22,0.48,0.08,0.02,0.07,0.01,0
2021-07-03,26,22,0.48,0.08,0.02,0.07,0.01,0
2021-07-04,27,88,0.48,0.08,0.02,0.07,0.01,0
2021-07-05,27,88,0.48,0.08,0.02,0.07,0.01,0
2021-07-06,27,88,0.48,0.08,0.02,0.07,0.01,0
2021-07-07,27,88,0.49,0.13,0.02,0.1,0.005,0
2021-07-08,27,88,0.49,0.13,0.02,0.1,0.005,0
2021-07-09,27,88,0.49,0.13,0.02,0.1,0.005,0
2021-07-10,27,88,0.49,0.13,0.02,0.1,0.005,0
2021-07-11,28,167,0.49,0.13,0.02,0.1,0.005,0
2021-07-12,28,167,0.49,0.13,0.02,0.1,0.005,0
2021-07-13,28,167,0.49,0.13,0.02,0.1,0.005,0
2021-07-14,28,167,0.54,0.18,0.05,0.08,0.005,0
2021-07-15,28,167,0.54,0.18,0.05,0.08,0.005,0
2021-07-16,28,167,0.54,0.18,0.05,0.08,0.005,0
2021-07-17,28,167,0.54,0.18,0.05,0.08,0.005,0
2021-07-18,29,359,0.54,0.18,0.05,0.08,0.005,0
2021-07-19,29,359,0.54,0.18,0.05,0.08,0.005,0
2021-07-20,29,359,0.54,0.18,0.05,0.08,0.005,0
2021-07-21,29,359,0.56,0.12,0.07,0.07,0.01,0
2021-07-22,29,359,0.56,0.12,0.07,0.07,0.01,0
2021-07-23,29,359,0.56,0.12,0.07,0.07,0.01,0
2021-07-24,29,359,0.56,0.12,0.07,0.07,0.01,0
2021-07-25,30,542,0.56,0.12,0.07,0.07,0.01,0
2021-07-26,30,542,0.56,0.12,0.07,0.07,0.01,0
2021-07-27,30,542,0.56,0.12,0.07,0.07,0.01,0
2021-07-28,30,542,0.56,0.12,0.07,0.07,0.01,0
2021-07-29,30,542,0.52,0.08,0.13,0.1,0.01,0
2021-07-30,30,542,0.52,0.08,0.13,0.1,0.01,0
2021-07-31,30,542,0.52,0.08,0.13,0.1,0.01,0
2021-08-01,31,710,0.53,0.08,0.09,0.08,0.02,0
2021-08-02,31,710,0.53,0.08,0.09,0.08,0.02,0
2021-08-03,31,710,0.53,0.08,0.09,0.08,0.02,0
2021-08-04,31,710,0.53,0.08,0.09,0.08,0.02,0
2021-08-05,31,710,0.53,0.08,0.09,0.08,0.02,0
2021-08-06,31,710,0.53,0.08,0.09,0.08,0.02,0
2021-08-07,31,710,0.53,0.08,0.09,0.08,0.02,0
2021-08-08,32,801,0.53,0.08,0.09,0.08,0.02,0
2021-08-09,32,801,0.55,0.09,0.04,0.15,0.01,0
2021-08-10,32,801,0.55,0.09,0.04,0.15,0.01,0
2021-08-11,32,801,0.55,0.09,0.04,0.15,0.01,0
2021-08-12,32,801,0.55,0.09,0.04,0.15,0.01,0
2021-08-13,32,801,0.55,0.09,0.04,0.15,0.01,0
2021-08-14,32,801,0.55,0.09,0.04,0.15,0.01,0
2021-08-15,33,643,0.55,0.09,0.04,0.15,0.01,0
2021-08-16,33,643,0.49,0.11,0.05,0.22,0.02,0
2021-08-17,33,643,0.49,0.11,0.05,0.22,0.02,0
2021-08-18,33,643,0.49,0.11,0.05,0.22,0.02,0
2021-08-19,33,643,0.49,0.11,0.05,0.22,0.02,0
2021-08-20,33,643,0.49,0.11,0.05,0.22,0.02,0
2021-08-21,33,643,0.49,0.11,0.05,0.22,0.02,0
2021-08-22,34,686,0.49,0.11,0.05,0.22,0.02,0
2021-08-23,34,686,0.47,0.11,0.07,0.21,0.02,0
2021-08-24,34,686,0.47,0.11,0.07,0.21,0.02,0
2021-08-25,34,686,0.47,0.11,0.07,0.21,0.02,0
2021-08-26,34,686,0.47,0.11,0.07,0.21,0.02,0
2021-08-27,34,686,0.47,0.11,0.07,0.21,0.02,0
2021-08-28,34,686,0.47,0.11,0.07,0.21,0.02,0
2021-08-29,35,559,0.47,0.11,0.07,0.21,0.02,0
2021-08-30,35,559,0.51,0.1,0.1,0.18,0.03,0
2021-08-31,35,559,0.51,0.1,0.1,0.18,0.03,0
2021-09-01,35,559,0.51,0.1,0.1,0.18,0.03,0
2021-09-02,35,559,0.51,0.1,0.1,0.18,0.03,0
2021-09-03,35,559,0.51,0.1,0.1,0.18,0.03,0
2021-09-04,35,559,0.51,0.1,0.1,0.18,0.03,0
2021-09-05,36,588,0.51,0.1,0.1,0.18,0.03,0
2021-09-06,36,588,0.51,0.1,0.1,0.18,0.03,0
2021-09-07,36,588,0.51,0.11,0.11,0.15,0.04,0
2021-09-08,36,588,0.51,0.11,0.11,0.15,0.04,0
2021-09-09,36,588,0.51,0.11,0.11,0.15,0.04,0
2021-09-10,36,588,0.51,0.11,0.11,0.15,0.04,0
2021-09-11,36,588,0.51,0.11,0.11,0.15,0.04,0
2021-09-12,37,408,0.51,0.11,0.11,0.15,0.04,0
2021-09-13,37,408,0.51,0.11,0.11,0.15,0.04,0
2021-09-14,37,408,0.43,0.1,0.16,0.18,0.03,0.005
2021-09-15,37,408,0.43,0.1,0.16,0.18,0.03,0.005
2021-09-16,37,408,0.43,0.1,0.16,0.18,0.03,0.005
2021-09-17,37,408,0.43,0.1,0.16,0.18,0.03,0.005
2021-09-18,37,408,0.43,0.1,0.16,0.18,0.03,0.005
2021-09-19,38,92,0.43,0.1,0.16,0.18,0.03,0.005
2021-09-20,38,92,0.43,0.1,0.16,0.18,0.03,0.005
2021-09-21,38,92,,,,,,
2021-09-22,38,92,,,,,,
2021-09-23,38,92,,,,,,
2021-09-24,38,92,,,,,,
2021-09-25,38,92,,,,,,
2021-09-26,39,,,,,,,
2021-09-27,39,,,,,,,
2021-09-28,39,,,,,,,
2021-09-29,39,,,,,,,
2021-09-30,39,,,,,,,
2021-10-01,39,,,,,,,
2021-10-02,39,,,,,,,
2021-10-03,40,,,,,,,
2021-10-04,40,,,,,,,
2021-10-05,40,,,,,,,
2021-10-06,40,,,,,,,
2021-10-07,40,,,,,,,
2021-10-08,40,,,,,,,
2021-10-09,40,,,,,,,
2021-10-10,41,,,,,,,
2021-10-11,41,,,,,,,
2021-10-12,41,,,,,,,
2021-10-13,41,,,,,,,
2021-10-14,41,,,,,,,
2021-10-15,41,,,,,,,
2021-10-16,41,,,,,,,
2021-10-17,42,,,,,,,
2021-10-18,42,,,,,,,
2021-10-19,42,,,,,,,
2021-10-20,42,,,,,,,
2021-10-21,42,,,,,,,
2021-10-22,42,,,,,,,
2021-10-23,42,,,,,,,
2021-10-24,43,,,,,,,
2021-10-25,43,,,,,,,
2021-10-26,43,,,,,,,
2021-10-27,43,,,,,,,
2021-10-28,43,,,,,,,
2021-10-29,43,,,,,,,
2021-10-30,43,,,,,,,
2021-10-31,44,,,,,,,
2021-11-01,44,,,,,,,
2021-11-02,44,,,,,,,
2021-11-03,44,,,,,,,
2021-11-04,44,,,,,,,
2021-11-05,44,,,,,,,
2021-11-06,44,,,,,,,
2021-11-07,45,,,,,,,
2021-11-08,45,,,,,,,
2021-11-09,45,,,,,,,
2021-11-10,45,,,,,,,
2021-11-11,45,,,,,,,
2021-11-12,45,,,,,,,
2021-11-13,45,,,,,,,
2021-11-14,46,,,,,,,
2021-11-15,46,,,,,,,
2021-11-16,46,,,,,,,
