,First day of week,B.1.617.2,B.1.617.2-CI,B.1.617.2-low,B.1.617.2-high,AY.3,AY.3-CI,AY.3-low,AY.3-high,AY.4,AY.4-CI,AY.4-low,AY.4-high,AY.25,AY.25-CI,AY.25-low,AY.25-high,AY.33,AY.33-CI,AY.33-low,AY.33-high,AY.26,AY.26-CI,AY.26-low,AY.26-high
1,7/27/21,1.51,"7/27: 1.51 (1.25, 1.84)",1.25,1.84,1.48,"7/27: 1.48 (1.25, 1.79)",1.25,1.79,1.84,"7/27: 1.84 (1.39, 2.41)",1.39,2.41,1.63,"7/27: 1.63 (1.29, 2.05)",1.29,2.05,1.5,"7/27: 1.5 (1.26, 1.82)",1.26,1.82,1.89,"7/27: 1.89 (1.33, 2.61)",1.33,2.61
2,7/28/21,1.47,"7/28: 1.47 (1.23, 1.77)",1.23,1.77,1.44,"7/28: 1.44 (1.22, 1.7)",1.22,1.7,1.81,"7/28: 1.81 (1.38, 2.35)",1.38,2.35,1.61,"7/28: 1.61 (1.29, 2)",1.29,2,1.44,"7/28: 1.44 (1.23, 1.74)",1.23,1.74,1.83,"7/28: 1.83 (1.31, 2.5)",1.31,2.5
3,7/29/21,1.43,"7/29: 1.43 (1.22, 1.71)",1.22,1.71,1.39,"7/29: 1.39 (1.2, 1.63)",1.2,1.63,1.79,"7/29: 1.79 (1.37, 2.3)",1.37,2.3,1.59,"7/29: 1.59 (1.28, 1.96)",1.28,1.96,1.4,"7/29: 1.4 (1.21, 1.66)",1.21,1.66,1.78,"7/29: 1.78 (1.3, 2.4)",1.3,2.4
4,7/30/21,1.41,"7/30: 1.41 (1.21, 1.66)",1.21,1.66,1.35,"7/30: 1.35 (1.18, 1.57)",1.18,1.57,1.76,"7/30: 1.76 (1.36, 2.24)",1.36,2.24,1.58,"7/30: 1.58 (1.28, 1.94)",1.28,1.94,1.36,"7/30: 1.36 (1.19, 1.59)",1.19,1.59,1.75,"7/30: 1.75 (1.3, 2.33)",1.3,2.33
5,7/31/21,1.39,"7/31: 1.39 (1.2, 1.62)",1.2,1.62,1.32,"7/31: 1.32 (1.16, 1.5)",1.16,1.5,1.72,"7/31: 1.72 (1.34, 2.18)",1.34,2.18,1.59,"7/31: 1.59 (1.29, 1.93)",1.29,1.93,1.32,"7/31: 1.32 (1.17, 1.52)",1.17,1.52,1.75,"7/31: 1.75 (1.31, 2.29)",1.31,2.29
6,8/1/21,1.37,"8/1: 1.37 (1.2, 1.59)",1.2,1.59,1.28,"8/1: 1.28 (1.15, 1.45)",1.15,1.45,1.67,"8/1: 1.67 (1.32, 2.1)",1.32,2.1,1.59,"8/1: 1.59 (1.29, 1.94)",1.29,1.94,1.29,"8/1: 1.29 (1.15, 1.46)",1.15,1.46,1.75,"8/1: 1.75 (1.33, 2.27)",1.33,2.27
7,8/2/21,1.36,"8/2: 1.36 (1.19, 1.56)",1.19,1.56,1.25,"8/2: 1.25 (1.13, 1.4)",1.13,1.4,1.63,"8/2: 1.63 (1.3, 2.03)",1.3,2.03,1.6,"8/2: 1.6 (1.3, 1.94)",1.3,1.94,1.25,"8/2: 1.25 (1.13, 1.41)",1.13,1.41,1.75,"8/2: 1.75 (1.33, 2.26)",1.33,2.26
8,8/3/21,1.35,"8/3: 1.35 (1.19, 1.54)",1.19,1.54,1.22,"8/3: 1.22 (1.11, 1.35)",1.11,1.35,1.58,"8/3: 1.58 (1.28, 1.95)",1.28,1.95,1.6,"8/3: 1.6 (1.3, 1.94)",1.3,1.94,1.23,"8/3: 1.23 (1.12, 1.36)",1.12,1.36,1.76,"8/3: 1.76 (1.34, 2.26)",1.34,2.26
9,8/4/21,1.34,"8/4: 1.34 (1.18, 1.52)",1.18,1.52,1.2,"8/4: 1.2 (1.11, 1.32)",1.11,1.32,1.53,"8/4: 1.53 (1.25, 1.87)",1.25,1.87,1.59,"8/4: 1.59 (1.29, 1.94)",1.29,1.94,1.21,"8/4: 1.21 (1.11, 1.33)",1.11,1.33,1.75,"8/4: 1.75 (1.34, 2.25)",1.34,2.25
10,8/5/21,1.33,"8/5: 1.33 (1.18, 1.5)",1.18,1.5,1.18,"8/5: 1.18 (1.1, 1.29)",1.1,1.29,1.48,"8/5: 1.48 (1.23, 1.79)",1.23,1.79,1.58,"8/5: 1.58 (1.29, 1.93)",1.29,1.93,1.19,"8/5: 1.19 (1.1, 1.3)",1.1,1.3,1.75,"8/5: 1.75 (1.34, 2.23)",1.34,2.23
