"","First day of week","B.1.617.2","B.1.617.2-CI","B.1.617.2-low","B.1.617.2-high","AY.3","AY.3-CI","AY.3-low","AY.3-high","AY.4","AY.4-CI","AY.4-low","AY.4-high","AY.25","AY.25-CI","AY.25-low","AY.25-high","AY.39","AY.39-CI","AY.39-low","AY.39-high","AY.44","AY.44-CI","AY.44-low","AY.44-high"
"1",2021-07-27,1.51,"7/27: 1.51 (1.25, 1.84)",1.25,1.84,1.49,"7/27: 1.49 (1.25, 1.83)",1.25,1.83,1.83,"7/27: 1.83 (1.4, 2.37)",1.4,2.37,1.64,"7/27: 1.64 (1.32, 2.04)",1.32,2.04,NA,"7/27: NA (NA, NA)",NA,NA,NA,"7/27: NA (NA, NA)",NA,NA
"2",2021-07-28,1.47,"7/28: 1.47 (1.24, 1.78)",1.24,1.78,1.44,"7/28: 1.44 (1.22, 1.75)",1.22,1.75,1.8,"7/28: 1.8 (1.4, 2.31)",1.4,2.31,1.61,"7/28: 1.61 (1.31, 2)",1.31,2,NA,"7/28: NA (NA, NA)",NA,NA,NA,"7/28: NA (NA, NA)",NA,NA
"3",2021-07-29,1.44,"7/29: 1.44 (1.22, 1.72)",1.22,1.72,1.4,"7/29: 1.4 (1.2, 1.67)",1.2,1.67,1.78,"7/29: 1.78 (1.39, 2.27)",1.39,2.27,1.6,"7/29: 1.6 (1.31, 1.96)",1.31,1.96,NA,"7/29: NA (NA, NA)",NA,NA,NA,"7/29: NA (NA, NA)",NA,NA
"4",2021-07-30,1.41,"7/30: 1.41 (1.21, 1.67)",1.21,1.67,1.36,"7/30: 1.36 (1.18, 1.6)",1.18,1.6,1.74,"7/30: 1.74 (1.37, 2.21)",1.37,2.21,1.59,"7/30: 1.59 (1.32, 1.94)",1.32,1.94,NA,"7/30: NA (NA, NA)",NA,NA,NA,"7/30: NA (NA, NA)",NA,NA
"5",2021-07-31,1.39,"7/31: 1.39 (1.21, 1.63)",1.21,1.63,1.32,"7/31: 1.32 (1.16, 1.54)",1.16,1.54,1.71,"7/31: 1.71 (1.35, 2.15)",1.35,2.15,1.59,"7/31: 1.59 (1.32, 1.94)",1.32,1.94,NA,"7/31: NA (NA, NA)",NA,NA,NA,"7/31: NA (NA, NA)",NA,NA
"6",2021-08-01,1.38,"8/1: 1.38 (1.2, 1.6)",1.2,1.6,1.29,"8/1: 1.29 (1.15, 1.48)",1.15,1.48,1.66,"8/1: 1.66 (1.33, 2.08)",1.33,2.08,1.6,"8/1: 1.6 (1.33, 1.94)",1.33,1.94,NA,"8/1: NA (NA, NA)",NA,NA,NA,"8/1: NA (NA, NA)",NA,NA
"7",2021-08-02,1.36,"8/2: 1.36 (1.19, 1.57)",1.19,1.57,1.26,"8/2: 1.26 (1.13, 1.42)",1.13,1.42,1.62,"8/2: 1.62 (1.31, 2)",1.31,2,1.6,"8/2: 1.6 (1.33, 1.94)",1.33,1.94,NA,"8/2: NA (NA, NA)",NA,NA,NA,"8/2: NA (NA, NA)",NA,NA
"8",2021-08-03,1.35,"8/3: 1.35 (1.19, 1.55)",1.19,1.55,1.23,"8/3: 1.23 (1.12, 1.38)",1.12,1.38,1.57,"8/3: 1.57 (1.29, 1.92)",1.29,1.92,1.61,"8/3: 1.61 (1.33, 1.95)",1.33,1.95,NA,"8/3: NA (NA, NA)",NA,NA,NA,"8/3: NA (NA, NA)",NA,NA
"9",2021-08-04,1.34,"8/4: 1.34 (1.18, 1.53)",1.18,1.53,1.21,"8/4: 1.21 (1.11, 1.34)",1.11,1.34,1.52,"8/4: 1.52 (1.26, 1.84)",1.26,1.84,1.6,"8/4: 1.6 (1.32, 1.94)",1.32,1.94,NA,"8/4: NA (NA, NA)",NA,NA,NA,"8/4: NA (NA, NA)",NA,NA
"10",2021-08-05,1.33,"8/5: 1.33 (1.18, 1.51)",1.18,1.51,1.19,"8/5: 1.19 (1.1, 1.31)",1.1,1.31,1.48,"8/5: 1.48 (1.24, 1.77)",1.24,1.77,1.59,"8/5: 1.59 (1.32, 1.93)",1.32,1.93,NA,"8/5: NA (NA, NA)",NA,NA,NA,"8/5: NA (NA, NA)",NA,NA
"11",2021-08-06,1.32,"8/6: 1.32 (1.18, 1.5)",1.18,1.5,1.17,"8/6: 1.17 (1.09, 1.28)",1.09,1.28,1.44,"8/6: 1.44 (1.22, 1.7)",1.22,1.7,1.58,"8/6: 1.58 (1.31, 1.91)",1.31,1.91,NA,"8/6: NA (NA, NA)",NA,NA,NA,"8/6: NA (NA, NA)",NA,NA
"12",2021-08-07,1.31,"8/7: 1.31 (1.17, 1.48)",1.17,1.48,1.16,"8/7: 1.16 (1.08, 1.26)",1.08,1.26,1.4,"8/7: 1.4 (1.2, 1.63)",1.2,1.63,1.56,"8/7: 1.56 (1.3, 1.88)",1.3,1.88,NA,"8/7: NA (NA, NA)",NA,NA,NA,"8/7: NA (NA, NA)",NA,NA
"13",2021-08-08,1.31,"8/8: 1.31 (1.17, 1.47)",1.17,1.47,1.15,"8/8: 1.15 (1.08, 1.24)",1.08,1.24,1.36,"8/8: 1.36 (1.18, 1.56)",1.18,1.56,1.55,"8/8: 1.55 (1.29, 1.86)",1.29,1.86,NA,"8/8: NA (NA, NA)",NA,NA,NA,"8/8: NA (NA, NA)",NA,NA
"14",2021-08-09,1.3,"8/9: 1.3 (1.16, 1.46)",1.16,1.46,1.14,"8/9: 1.14 (1.07, 1.22)",1.07,1.22,1.31,"8/9: 1.31 (1.16, 1.5)",1.16,1.5,1.53,"8/9: 1.53 (1.29, 1.83)",1.29,1.83,NA,"8/9: NA (NA, NA)",NA,NA,NA,"8/9: NA (NA, NA)",NA,NA
"15",2021-08-10,1.29,"8/10: 1.29 (1.16, 1.44)",1.16,1.44,1.13,"8/10: 1.13 (1.07, 1.21)",1.07,1.21,1.27,"8/10: 1.27 (1.14, 1.44)",1.14,1.44,1.52,"8/10: 1.52 (1.28, 1.81)",1.28,1.81,NA,"8/10: NA (NA, NA)",NA,NA,NA,"8/10: NA (NA, NA)",NA,NA
"16",2021-08-11,1.28,"8/11: 1.28 (1.16, 1.43)",1.16,1.43,1.13,"8/11: 1.13 (1.07, 1.21)",1.07,1.21,1.24,"8/11: 1.24 (1.11, 1.38)",1.11,1.38,1.51,"8/11: 1.51 (1.28, 1.79)",1.28,1.79,NA,"8/11: NA (NA, NA)",NA,NA,NA,"8/11: NA (NA, NA)",NA,NA
"17",2021-08-12,1.27,"8/12: 1.27 (1.15, 1.42)",1.15,1.42,1.13,"8/12: 1.13 (1.07, 1.2)",1.07,1.2,1.2,"8/12: 1.2 (1.09, 1.32)",1.09,1.32,1.5,"8/12: 1.5 (1.27, 1.77)",1.27,1.77,NA,"8/12: NA (NA, NA)",NA,NA,NA,"8/12: NA (NA, NA)",NA,NA
"18",2021-08-13,1.27,"8/13: 1.27 (1.15, 1.41)",1.15,1.41,1.13,"8/13: 1.13 (1.07, 1.2)",1.07,1.2,1.16,"8/13: 1.16 (1.07, 1.27)",1.07,1.27,1.49,"8/13: 1.49 (1.27, 1.75)",1.27,1.75,NA,"8/13: NA (NA, NA)",NA,NA,NA,"8/13: NA (NA, NA)",NA,NA
