"","First day of week","B.1.617.2","B.1.617.2-CI","B.1.617.2-low","B.1.617.2-high","AY.3","AY.3-CI","AY.3-low","AY.3-high","AY.25","AY.25-CI","AY.25-low","AY.25-high","AY.39","AY.39-CI","AY.39-low","AY.39-high","AY.44","AY.44-CI","AY.44-low","AY.44-high"
"1",2021-07-27,1.52,"7/27: 1.52 (1.26, 1.86)",1.26,1.86,1.5,"7/27: 1.5 (1.25, 1.8)",1.25,1.8,NA,"7/27: NA (NA, NA)",NA,NA,NA,"7/27: NA (NA, NA)",NA,NA,NA,"7/27: NA (NA, NA)",NA,NA
"2",2021-07-28,1.48,"7/28: 1.48 (1.24, 1.8)",1.24,1.8,1.45,"7/28: 1.45 (1.23, 1.72)",1.23,1.72,NA,"7/28: NA (NA, NA)",NA,NA,NA,"7/28: NA (NA, NA)",NA,NA,NA,"7/28: NA (NA, NA)",NA,NA
"3",2021-07-29,1.45,"7/29: 1.45 (1.23, 1.74)",1.23,1.74,1.41,"7/29: 1.41 (1.21, 1.65)",1.21,1.65,NA,"7/29: NA (NA, NA)",NA,NA,NA,"7/29: NA (NA, NA)",NA,NA,NA,"7/29: NA (NA, NA)",NA,NA
"4",2021-07-30,1.43,"7/30: 1.43 (1.22, 1.69)",1.22,1.69,1.37,"7/30: 1.37 (1.19, 1.59)",1.19,1.59,NA,"7/30: NA (NA, NA)",NA,NA,NA,"7/30: NA (NA, NA)",NA,NA,NA,"7/30: NA (NA, NA)",NA,NA
"5",2021-07-31,1.41,"7/31: 1.41 (1.22, 1.66)",1.22,1.66,1.33,"7/31: 1.33 (1.17, 1.53)",1.17,1.53,NA,"7/31: NA (NA, NA)",NA,NA,NA,"7/31: NA (NA, NA)",NA,NA,NA,"7/31: NA (NA, NA)",NA,NA
"6",2021-08-01,1.39,"8/1: 1.39 (1.21, 1.62)",1.21,1.62,1.3,"8/1: 1.3 (1.16, 1.47)",1.16,1.47,NA,"8/1: NA (NA, NA)",NA,NA,NA,"8/1: NA (NA, NA)",NA,NA,NA,"8/1: NA (NA, NA)",NA,NA
"7",2021-08-02,1.38,"8/2: 1.38 (1.2, 1.6)",1.2,1.6,1.27,"8/2: 1.27 (1.14, 1.42)",1.14,1.42,NA,"8/2: NA (NA, NA)",NA,NA,NA,"8/2: NA (NA, NA)",NA,NA,NA,"8/2: NA (NA, NA)",NA,NA
"8",2021-08-03,1.37,"8/3: 1.37 (1.2, 1.58)",1.2,1.58,1.24,"8/3: 1.24 (1.13, 1.38)",1.13,1.38,3.96,"8/3: 3.96 (2.03, 7.38)",2.03,7.38,NA,"8/3: NA (NA, NA)",NA,NA,NA,"8/3: NA (NA, NA)",NA,NA
"9",2021-08-04,1.36,"8/4: 1.36 (1.2, 1.56)",1.2,1.56,1.22,"8/4: 1.22 (1.12, 1.35)",1.12,1.35,3.58,"8/4: 3.58 (1.91, 6.55)",1.91,6.55,NA,"8/4: NA (NA, NA)",NA,NA,NA,"8/4: NA (NA, NA)",NA,NA
"10",2021-08-05,1.35,"8/5: 1.35 (1.19, 1.55)",1.19,1.55,1.21,"8/5: 1.21 (1.11, 1.32)",1.11,1.32,3.22,"8/5: 3.22 (1.8, 5.7)",1.8,5.7,NA,"8/5: NA (NA, NA)",NA,NA,NA,"8/5: NA (NA, NA)",NA,NA
